pe_02x,pe_02y,pe_02z,pe_3x,pe_3y,pe_3z,he_02x,he_02y,he_02z,he_3x,he_3y,he_3z,max_x,max_y,max_z,min_x,min_y,min_z,pianch_x,pianch_y,pianch_z,average_x,average_y,average_z,std_x,std_y,std_z,eng_x,eng_y,eng_z,class
0,0,0,0,0,0,0,0,0,0,0,0,0.1624125,0.1652555,0.0549005,-0.1609145,-0.1086905,-0.0906465,0.323327,0.273946,0.145547,-0.017389965,0.019909196,-0.017440379,0.082302151,0.064886444,0.037348355,1.811772465,1.179692819,0.435265178,S
3,5,0,0,0,0,0.14453125,0.12890625,0,0,0,0,0.399141,0.3356515,0.0975445,-0.3870555,-0.21822,-0.18005,0.7861965,0.5538715,0.2775945,-0.00019899,0.031627529,-0.015376329,0.193595776,0.144021326,0.07870053,9.594717252,5.567065683,1.646368882,S
4,10,0,0,0,0,0.1875,0.18359375,0,0,0,0,0.399141,0.3356515,0.0975445,-0.3870555,-0.21822,-0.18005,0.7861965,0.5538715,0.2775945,-0.004936807,0.038381722,-0.014199691,0.204867696,0.152199317,0.082918577,10.75078146,6.30874702,1.811944748,S
3,10,0,0,0,0,0.17578125,0.15234375,0,0,0,0,0.3168835,0.2585665,0.109702,-0.301104,-0.214205,-0.145275,0.6179875,0.4727715,0.254977,-0.006375019,0.021993428,-0.013924195,0.181088739,0.143463153,0.078672431,8.405486358,5.393222844,1.634301932,S
5,9,0,0,0,0,0.23828125,0.18359375,0,0,0,0,0.3168835,0.270724,0.1142825,-0.3352785,-0.222441,-0.1486765,0.652162,0.493165,0.262959,-0.003483173,0.020662644,-0.014098134,0.208635185,0.159203879,0.08248794,11.14644999,6.598268846,1.792971264,S
4,8,0,0,0,0,0.19921875,0.16015625,0,0,0,0,0.3015705,0.270724,0.1142825,-0.362955,-0.291011,-0.165028,0.6645255,0.561735,0.2793105,-0.027265938,0.00362257,-0.021339778,0.20929397,0.162144514,0.07795812,11.40487716,6.733828523,1.672866179,S
2,6,0,0,0,0,0.1640625,0.14453125,0,0,0,0,0.3215095,0.2926085,0.1266935,-0.362955,-0.291011,-0.165028,0.6844645,0.5836195,0.2917215,-0.012259292,0.015741076,-0.015483768,0.198648674,0.157611356,0.079327598,10.14071631,6.423062795,1.672589143,S
2,2,0,0,0,0,0.10546875,0.06640625,0,0,0,0,0.3215095,0.2926085,0.1266935,-0.3325165,-0.232681,-0.13883,0.654026,0.5252895,0.2655235,-0.001005272,0.029216463,-0.010294243,0.160214477,0.124208374,0.064218891,6.571441435,4.168871987,1.082995546,S
1,0,0,0,0,0,0.0390625,0,0,0,0,0,0.2373945,0.18415,0.051573,-0.261956,-0.192667,-0.1159335,0.4993505,0.376817,0.1675065,-0.013049014,0.023320661,-0.016155827,0.112563993,0.082793331,0.036507834,3.287448197,1.89458263,0.408282182,S
2,1,0,0,0,0,0.04296875,0.00390625,0,0,0,0,0.2316945,0.201675,0.074768,-0.22254,-0.1623675,-0.103031,0.4542345,0.3640425,0.177799,-0.01097915,0.021817874,-0.017271531,0.12735703,0.097732685,0.047586248,4.183251349,2.567566557,0.656364049,S
2,1,0,0,0,0,0.04296875,0.00390625,0,0,0,0,0.2316945,0.201675,0.074768,-0.209251,-0.1623675,-0.103031,0.4409455,0.3640425,0.177799,-0.002702126,0.022819016,-0.013958385,0.138029153,0.104431174,0.050858567,4.879200525,2.925724571,0.712241009,S
0,0,0,0,0,0,0,0,0,0,0,0,0.1809025,0.1784575,0.0608795,-0.209251,-0.132845,-0.08678,0.3901535,0.3113025,0.1476595,-0.011782358,0.022698428,-0.01661978,0.131090233,0.088450172,0.043429321,4.434947931,2.135210039,0.553830902,S
2,0,0,0,0,0,0.01953125,0,0,0,0,0,0.205396,0.189091,0.057676,-0.224998,-0.1506275,-0.083437,0.430394,0.3397185,0.141113,-0.022893809,0.016139263,-0.017938358,0.134307522,0.092900412,0.043406862,4.75255921,2.276346853,0.565042507,S
2,0,0,0,0,0,0.01953125,0,0,0,0,0,0.205396,0.189091,0.057676,-0.224998,-0.1506275,-0.083437,0.430394,0.3397185,0.141113,-0.017131893,0.01988171,-0.014664354,0.123161451,0.091854004,0.040493739,3.958628193,2.261500026,0.475040297,S
0,0,0,0,0,0,0,0,0,0,0,0,0.19537,0.184976,0.0521585,-0.201461,-0.119915,-0.0727045,0.396831,0.304891,0.124863,-0.000227387,0.032918946,-0.011851837,0.114442402,0.081551503,0.036905815,3.352861506,1.981065656,0.384781794,S
0,0,0,0,0,0,0,0,0,0,0,0,0.19537,0.184976,0.0521585,-0.2216075,-0.1268525,-0.0756075,0.4169775,0.3118285,0.127766,-0.006119335,0.027336523,-0.014571595,0.117902217,0.079802434,0.035870462,3.568262458,1.822370057,0.383961825,S
0,3,0,0,0,0,0,0.04296875,0,0,0,0,0.1888515,0.2463225,0.158625,-0.1881255,-0.206502,-0.1778265,0.376977,0.4528245,0.3364515,-0.003380062,0.0302677,-0.014171424,0.097564623,0.076930417,0.08297952,2.439763223,1.750528347,1.814326913,S
4,8,0,0,0,0,0.0859375,0.140625,0,0,0,0,0.276376,0.2504775,0.152498,-0.241936,-0.206502,-0.212507,0.518312,0.4569795,0.365005,0.002130582,0.043675981,-0.013442912,0.139193258,0.121378044,0.102611684,4.96110594,4.261804156,2.741907332,S
7,5,0,0,0,0,0.125,0.09765625,0,0,0,0,0.276376,0.2504775,0.152498,-0.241936,-0.206502,-0.212507,0.518312,0.4569795,0.365005,0.004779951,0.018451625,-0.015156794,0.155950644,0.141927604,0.109759959,6.23194636,5.24422072,3.143135841,S
5,3,0,0,0,0,0.09375,0.05859375,0,0,0,0,0.2320085,0.2375335,0.1365605,-0.251482,-0.2079855,-0.16965,0.4834905,0.445519,0.3062105,-0.013352759,0.004650302,-0.021027593,0.148964975,0.135446864,0.09846856,5.726606476,4.702096047,2.595825701,S
4,6,0,0,0,0,0.09375,0.1015625,0,0,0,0,0.2332255,0.2386785,0.128484,-0.251482,-0.2079855,-0.1517205,0.4847075,0.446664,0.2802045,-0.01997194,0.006595261,-0.024244111,0.133029799,0.120027944,0.08184737,4.632925158,3.699295901,1.866000597,S
